,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
2975,Descendants,"Streaming Apr 18, 2017",positive,90%,positive,68%
2976,Paranormal Activity 2,"Streaming Nov 1, 2012",negative,57%,negative,48%
2977,Perfume: The Story of a Murderer,"Streaming Mar 22, 2016",negative,59%,positive,74%
2978,The Fog,"Streaming Apr 25, 2011",negative,4%,negative,19%
2979,Traffik,"Streaming Jul 10, 2018",negative,29%,negative,45%
2980,A Goofy Movie,"Streaming Jan 1, 2014",negative,59%,positive,71%
2981,Billy Madison,"Streaming Apr 19, 2016",negative,40%,positive,79%
2982,End of the Rope,"Streaming May 17, 2024",,,positive,64%
2983,Jumper,"Streaming Sep 1, 2016",negative,15%,negative,44%
2984,Public Enemies,"Streaming Dec 10, 2015",positive,68%,negative,59%
2985,Pulse,"Streaming Mar 2, 2017",negative,11%,negative,27%
2986,Safety Not Guaranteed,"Streaming Oct 30, 2012",positive,91%,positive,80%
2987,Starsky & Hutch,"Streaming Jul 1, 2011",positive,63%,negative,49%
2988,X-Men: First Class,"Streaming Nov 25, 2015",positive,86%,positive,87%
2989,You've Got Mail,"Streaming Dec 1, 2008",positive,70%,positive,73%
2990,A Classic Horror Story,"Streaming Jul 14, 2021",negative,55%,negative,34%
2991,Best in Show,"Streaming Apr 3, 2008",positive,93%,positive,88%
2992,Godzilla,"Streaming Apr 20, 2014",positive,94%,positive,89%
2993,Meet the Robinsons,"Streaming Jan 1, 2014",positive,68%,positive,74%
2994,The Battle of Algiers,"Streaming Jan 14, 2017",positive,99%,positive,95%
2995,The Roommate,"Streaming Apr 16, 2012",negative,3%,negative,27%
2996,The Sentinel,"Streaming Apr 3, 2016",negative,34%,negative,41%
2997,Triple 9,"Streaming Oct 4, 2016",negative,54%,negative,41%
2998,Pet Sematary: Bloodlines,"Streaming Oct 6, 2023",negative,24%,negative,39%
2999,Raya and the Last Dragon,"Streaming Mar 5, 2021",positive,93%,positive,97%
3000,Teenage Mutant Ninja Turtles,"Streaming Aug 22, 2016",negative,21%,negative,50%
3001,The Blues Brothers,"Streaming Jun 15, 2012",positive,71%,positive,92%
3002,Deception,"Streaming Oct 2, 2013",negative,10%,negative,31%
3003,Tears of the Sun,"Streaming Apr 25, 2011",negative,34%,positive,69%
3004,The World's Fastest Indian,"Streaming Feb 17, 2017",positive,82%,positive,89%
3005,Escape Room: Tournament of Champions,"Streaming Sep 20, 2021",negative,51%,positive,75%
3006,Love & Friendship,"Streaming Sep 6, 2016",positive,96%,negative,59%
3007,Miller's Crossing,"Streaming Mar 1, 2013",positive,93%,positive,90%
3008,Reminiscence,"Streaming Aug 20, 2021",negative,37%,negative,37%
3009,The Dig,"Streaming Jan 29, 2021",positive,87%,positive,78%
3010,The Other Zoey,"Streaming Nov 10, 2023",positive,86%,positive,78%
3011,The Tax Collector,"Streaming Aug 7, 2020",negative,18%,positive,72%
3012,Valkyrie,"Streaming Sep 2, 2015",positive,62%,positive,65%
3013,Vengeance,"Streaming Sep 16, 2022",positive,82%,positive,86%
3014,Brother,"Streaming Aug 4, 2023",positive,87%,positive,83%
3015,Friday Night Lights,"Streaming Feb 12, 2014",positive,82%,positive,85%
3016,Lady Ballers,"Streaming Dec 1, 2023",negative,40%,positive,88%
3017,Paul Blart: Mall Cop,"Streaming Jul 3, 2009",negative,34%,negative,43%
3018,The Prince & Me,"Streaming Jun 15, 2011",negative,29%,negative,59%
3019,Weird: The Al Yankovic Story,"Streaming Nov 4, 2022",positive,84%,positive,79%
3020,Wild Things,"Streaming Apr 16, 2012",positive,64%,negative,54%
3021,XX/XY,"Streaming Sep 27, 2016",negative,42%,negative,44%
3022,But I'm a Cheerleader,"Streaming Nov 5, 2013",negative,43%,positive,75%
3023,Daddy's Little Girls,"Streaming Jul 27, 2015",negative,25%,positive,81%
3024,Enchanted,"Streaming Nov 23, 2015",positive,93%,positive,80%
3025,Halloweentown II: Kalabar's Revenge,"Streaming Dec 1, 2016",,,positive,62%
3026,Red State,"Streaming Apr 1, 2012",positive,62%,negative,54%
3027,Swingers,"Streaming Dec 20, 2015",positive,88%,positive,89%
3028,The Meyerowitz Stories (New and Selected),"Streaming Oct 13, 2017",positive,92%,positive,72%
3029,Thirteen,"Streaming Nov 25, 2015",positive,81%,positive,77%
3030,Hidden,"Streaming Oct 6, 2015",positive,83%,positive,68%
3031,Hide and Seek,"Streaming Mar 1, 2013",negative,12%,negative,50%
3032,Mile 22,"Streaming Oct 30, 2018",negative,23%,negative,44%
3033,The Half of It,"Streaming May 2, 2020",positive,97%,positive,81%
3034,The Hitman's Wife's Bodyguard,"Streaming Jul 23, 2021",negative,25%,positive,79%
3035,End Times,"Streaming Jul 14, 2023",,,,
3036,Free Birds,"Streaming Oct 31, 2014",negative,20%,negative,44%
3037,Grindhouse,"Streaming May 2, 2021",positive,84%,positive,87%
3038,Jeepers Creepers 3,"Streaming Dec 26, 2017",negative,17%,negative,29%
3039,Marrowbone,"Streaming Apr 13, 2018",negative,49%,positive,71%
3040,Someone Great,"Streaming Apr 19, 2019",positive,84%,positive,65%
3041,The Exorcism of God,"Streaming Mar 11, 2022",negative,57%,negative,47%
3042,An American Werewolf in Paris,"Streaming Sep 26, 2018",negative,7%,negative,30%
3043,Gunpowder Milkshake,"Streaming Jul 14, 2021",positive,60%,negative,48%
3044,Hoodwinked!,"Streaming Aug 10, 2016",negative,46%,negative,56%
3045,Olympus Has Fallen,"Streaming Sep 7, 2014",negative,50%,positive,66%
3046,Sweetheart,"Streaming Oct 15, 2019",positive,95%,negative,50%
3047,"The Hunger Games: Mockingjay, Part 2","Streaming Mar 8, 2016",positive,70%,positive,66%
3048,The Negotiator,"Streaming Mar 1, 2013",positive,74%,positive,79%
3049,The Sea of Trees,"Streaming Mar 12, 2017",negative,17%,negative,44%
3050,Deliver Us,"Streaming Sep 29, 2023",positive,67%,positive,60%
3051,Memoirs of a Geisha,"Streaming Apr 16, 2012",negative,35%,positive,83%
3052,Mission: Impossible II,"Streaming Jan 1, 2011",negative,56%,negative,42%
3053,Paranormal Activity 3,"Streaming Oct 20, 2013",positive,67%,negative,51%
3054,The Firm,"Streaming May 27, 2010",positive,76%,positive,64%
3055,The Wall,"Streaming Jul 10, 2017",positive,65%,negative,42%
3056,Awake,"Streaming Jun 9, 2021",negative,22%,negative,26%
3057,Fly,"Streaming Sep 25, 2024",positive,92%,positive,87%
3058,Lost Highway,"Streaming Dec 13, 2016",positive,69%,positive,87%
3059,Maze Runner: The Death Cure,"Streaming Apr 6, 2018",negative,43%,negative,58%
3060,Saving Mr. Banks,"Streaming Oct 3, 2015",positive,79%,positive,84%
3061,The Hunt,"Streaming Jul 12, 2014",positive,92%,positive,93%
3062,The Magic of Ordinary Days,"Streaming Mar 6, 2018",,,positive,86%
3063,The Road to El Dorado,"Streaming Nov 25, 2015",negative,49%,positive,66%
3064,The Secret Life of Pets 2,"Streaming Aug 13, 2019",positive,60%,positive,90%
3065,Ballerina,"Streaming Oct 6, 2023",positive,91%,positive,73%
3066,Central Intelligence,"Streaming Sep 13, 2016",positive,71%,positive,62%
3067,Freaks,"Streaming Oct 18, 2010",positive,95%,positive,88%
3068,I Can Only Imagine,"Streaming Jun 5, 2018",positive,69%,positive,91%
3069,Call Jane,"Streaming Dec 6, 2022",positive,82%,positive,87%
3070,I Am the Pretty Thing That Lives in the House,"Streaming May 23, 2017",negative,59%,negative,24%
3071,Testament of Youth,"Streaming Nov 30, 2016",positive,84%,positive,78%
3072,The Brothers Grimm,"Streaming Oct 11, 2016",negative,38%,negative,39%
3073,The Constant Gardener,"Streaming Feb 12, 2014",positive,83%,positive,82%
3074,The Vast of Night,"Streaming May 31, 2020",positive,92%,positive,66%
3075,The Wolverine,"Streaming Jun 1, 2015",positive,71%,positive,69%
3076,Charlie's Angels,"Streaming Apr 16, 2012",positive,68%,negative,45%
3077,On the Basis of Sex,"Streaming Mar 26, 2019",positive,72%,positive,76%
3078,The Longest Yard,"Streaming Jun 6, 2014",negative,31%,positive,62%
3079,The Philadelphia Story,"Streaming Aug 15, 2008",positive,100%,positive,93%
3080,Amelia's Children,"Streaming Mar 1, 2024",negative,38%,negative,55%
3081,Bird Box Barcelona,"Streaming Jul 14, 2023",negative,53%,negative,40%
3082,Blow Dry,"Streaming Feb 14, 2016",negative,19%,negative,55%
3083,Escape from Germany,"Streaming Aug 2, 2024",,,positive,91%
3084,Out of the Furnace,"Streaming Mar 11, 2014",negative,53%,negative,52%
3085,Skin,"Streaming Jul 23, 2019",positive,76%,positive,82%
3086,Take Out,"Streaming May 23, 2017",positive,100%,positive,73%
3087,The Last Letter From Your Lover,"Streaming Jul 23, 2021",negative,56%,positive,80%
3088,Maggie Moore(s),"Streaming Jun 16, 2023",negative,51%,positive,65%
3089,Resurrection,"Streaming Aug 5, 2022",positive,82%,negative,46%
3090,The Lake House,"Streaming Jun 4, 2016",negative,35%,positive,73%
3091,Wounds,"Streaming Oct 18, 2019",negative,47%,negative,14%
3092,Y tu mamá también,"Streaming Sep 27, 2016",positive,90%,positive,88%
3093,Battleship,"Streaming Dec 10, 2015",negative,34%,negative,54%
3094,Ice Age: Continental Drift,"Streaming Apr 27, 2014",negative,37%,positive,61%
3095,Sleepless in Seattle,"Streaming Apr 16, 2012",positive,75%,positive,75%
3096,T2 Trainspotting,"Streaming Jun 13, 2017",positive,81%,positive,78%
3097,Unstoppable,"Streaming Dec 30, 2014",positive,87%,positive,72%
3098,Adaptation,"Streaming Apr 16, 2012",positive,90%,positive,85%
3099,Apollo 13,"Streaming Jun 14, 2012",positive,96%,positive,87%
3100,Boon,"Streaming Apr 1, 2022",negative,0%,negative,30%
3101,Daniel Isn't Real,"Streaming Oct 11, 2019",positive,84%,negative,57%
3102,Eye in the Sky,"Streaming Oct 4, 2016",positive,95%,positive,82%
3103,Last House on the Left,"Streaming Mar 10, 2017",positive,63%,negative,50%
3104,Monster Hunter,"Streaming Dec 18, 2020",negative,44%,positive,70%
3105,Ralph Breaks the Internet,"Streaming Feb 12, 2019",positive,88%,positive,64%
3106,The Postcard Killings,"Streaming Mar 13, 2020",negative,23%,negative,39%
3107,What Women Want,"Streaming Aug 1, 2013",negative,54%,negative,54%
3108,Cross the Line,"Streaming Mar 5, 2021",,,positive,70%
3109,Magic,"Streaming Jan 25, 2017",positive,87%,positive,65%
3110,Monster Inside: America's Most Extreme Haunted House,"Streaming Oct 12, 2023",,,positive,76%
3111,Mr. Peabody & Sherman,"Streaming Nov 25, 2015",positive,81%,positive,73%
3112,Space Jam,"Streaming Aug 15, 2008",negative,44%,positive,63%
3113,The Children Act,"Streaming Sep 11, 2018",positive,74%,positive,63%
3114,The Matrix Revolutions,"Streaming Jan 15, 2008",negative,33%,positive,60%
3115,The Walk,"Streaming Aug 10, 2016",positive,83%,positive,77%
3116,All the President's Men,"Streaming Feb 16, 2010",positive,94%,positive,92%
3117,Attack the Block,"Streaming Mar 9, 2014",positive,91%,positive,75%
3118,Polar,"Streaming Jan 25, 2019",negative,20%,positive,70%
3119,Ron's Gone Wrong,"Streaming Dec 15, 2021",positive,82%,positive,94%
3120,Texas Chainsaw,"Streaming Dec 17, 2014",negative,20%,negative,40%
3121,The French Dispatch,"Streaming Dec 13, 2021",positive,75%,positive,76%
3122,The Quick and the Dead,"Streaming Apr 9, 2013",negative,58%,negative,54%
3123,You Don't Mess With the Zohan,"Streaming Apr 16, 2012",negative,38%,negative,45%
3124,Deep Red,"Streaming Aug 10, 2016",positive,93%,positive,86%
3125,Four Brothers,"Streaming Aug 1, 2013",negative,53%,positive,80%
3126,Planet Terror,"Streaming Nov 18, 2016",positive,77%,positive,77%
3127,The Bank Job,"Streaming Sep 14, 2016",positive,79%,positive,74%
3128,The Guardian,"Streaming Jan 1, 2014",negative,37%,positive,80%
3129,The Sound of Music,"Streaming Nov 19, 2015",positive,83%,positive,91%
3130,The Unlikely Pilgrimage of Harold Fry,"Streaming Sep 20, 2024",positive,73%,positive,75%
3131,Anastasia,"Streaming Mar 1, 2013",positive,83%,positive,77%
3132,In the Name of the Father,"Streaming Sep 10, 2015",positive,94%,positive,95%
3133,Along Came a Spider,"Streaming Jan 21, 2010",negative,32%,negative,53%
3134,Legend,"Streaming Dec 3, 2015",negative,41%,positive,73%
3135,Long Shot,"Streaming Jul 16, 2019",positive,82%,positive,74%
3136,Rings,"Streaming Apr 21, 2017",negative,8%,negative,23%
3137,The Boy Who Harnessed the Wind,"Streaming Mar 1, 2019",positive,86%,positive,88%
3138,Trolls,"Streaming Jan 24, 2017",positive,76%,positive,67%
3139,Daddy's Home,"Streaming Sep 13, 2016",negative,31%,negative,49%
3140,Dances With Wolves,"Streaming Nov 29, 2016",positive,87%,positive,87%
3141,I Walk Alone,"Streaming Sep 1, 2016",,,positive,68%
3142,Indiana Jones and the Temple of Doom,"Streaming Jan 28, 2014",positive,77%,positive,82%
3143,Mr. Malcolm's List,"Streaming Jul 21, 2022",positive,83%,positive,82%
3144,Season of the Witch,"Streaming Jun 23, 2011",negative,11%,negative,30%
3145,The Glass House,"Streaming Jan 8, 2014",negative,21%,negative,39%
3146,The Hitcher,"Streaming Nov 30, 2016",positive,66%,positive,74%
3147,Venom,"Streaming Apr 14, 2016",negative,13%,negative,21%
3148,A Cinderella Story,"Streaming May 1, 2011",negative,11%,negative,53%
3149,Belfast,"Streaming Dec 2, 2021",positive,86%,positive,92%
3150,Charlie's Angels,"Streaming Oct 25, 2019",negative,52%,positive,78%
3151,Erin Brockovich,"Streaming Feb 25, 2014",positive,85%,positive,81%
3152,Jason Goes to Hell: The Final Friday,"Streaming Oct 1, 2008",negative,16%,negative,23%
3153,My Girl,"Streaming Apr 16, 2012",negative,55%,positive,77%
3154,Perfect Stranger,"Streaming Apr 25, 2011",negative,9%,negative,51%
3155,Peter Pan & Wendy,"Streaming Apr 28, 2023",positive,65%,negative,11%
3156,The Wind Rises,"Streaming Aug 30, 2020",positive,88%,positive,85%
3157,What Josiah Saw,"Streaming Aug 4, 2022",positive,91%,positive,64%
3158,Annie Hall,"Streaming Sep 3, 2015",positive,97%,positive,92%
3159,Die Another Day,"Streaming Oct 1, 2016",negative,55%,negative,41%
3160,Identity Thief,"Streaming Jun 5, 2015",negative,20%,negative,53%
3161,Only You,"Streaming Dec 1, 2010",negative,54%,positive,68%
3162,Out of Sight,"Streaming Apr 19, 2016",positive,94%,positive,74%
3163,The Stepfather,"Streaming Apr 9, 2013",negative,13%,negative,34%
3164,What Happened to Monday,"Streaming Feb 8, 2019",negative,59%,positive,67%
3165,Back to the Future Part III,"Streaming Jul 2, 2015",positive,81%,positive,78%
3166,Bombshell,"Streaming Dec 13, 2019",positive,68%,positive,84%
3167,Doubt,"Streaming Dec 17, 2015",positive,79%,positive,78%
3168,Sling Blade,"Streaming Dec 20, 2015",positive,97%,positive,92%
3169,The Beguiled,"Streaming Oct 30, 2018",positive,79%,negative,48%
3170,The Mummy,"Streaming Apr 19, 2016",positive,89%,positive,74%
3171,Wild Eyed and Wicked,"Streaming Jun 11, 2024",positive,80%,positive,66%
3172,Alexander,"Streaming Jul 24, 2014",negative,15%,negative,35%
3173,Da 5 Bloods,"Streaming Jun 13, 2020",positive,92%,negative,53%
3174,Lady in the Water,"Streaming Aug 4, 2009",negative,25%,negative,49%
3175,Mayhem!,"Streaming Jan 5, 2024",positive,81%,positive,61%
3176,Moulin Rouge,"Streaming Nov 25, 2015",positive,75%,positive,89%
3177,Poolman,"Streaming May 31, 2024",negative,21%,negative,20%
3178,The Kid Who Would Be King,"Streaming Apr 2, 2019",positive,90%,negative,55%
3179,Zathura,"Streaming Apr 16, 2012",positive,77%,negative,51%
3180,127 Hours,"Streaming Nov 25, 2015",positive,93%,positive,85%
3181,Marie Antoinette,"Streaming May 3, 2013",negative,57%,negative,56%
3182,Winner,"Streaming Sep 13, 2024",negative,56%,,
3183,10,"Streaming Jul 24, 2014",positive,64%,negative,56%
3184,Absolution,"Streaming Sep 3, 2019",negative,20%,positive,82%
3185,Hot Rod,"Streaming Aug 1, 2013",negative,39%,positive,64%
3186,"Lock, Stock and Two Smoking Barrels","Streaming Feb 12, 2014",positive,75%,positive,93%
3187,Men in Black 3,"Streaming Sep 7, 2014",positive,67%,positive,70%
3188,Pontypool,"Streaming Oct 1, 2016",positive,83%,positive,68%
3189,The Angry Birds Movie 2,"Streaming Aug 27, 2019",positive,72%,positive,84%
3190,The BFG,"Streaming Nov 29, 2016",positive,74%,negative,57%
3191,The Hole in the Ground,"Streaming Feb 26, 2019",positive,83%,negative,47%
3192,The Humans,"Streaming Nov 24, 2021",positive,92%,negative,45%
3193,The Man Who Knew Infinity,"Streaming Aug 24, 2016",positive,63%,positive,71%
3194,What Happens Later,"Streaming Nov 28, 2023",negative,51%,negative,28%
3195,A Room With a View,"Streaming Aug 25, 2015",positive,100%,positive,85%
3196,A Secret Love,"Streaming Apr 29, 2020",positive,100%,positive,88%
3197,Awakenings,"Streaming Sep 15, 2008",positive,81%,positive,89%
3198,Blade: Trinity,"Streaming Aug 26, 2013",negative,24%,negative,58%
3199,Fences,"Streaming Feb 24, 2017",positive,92%,positive,75%
3200,Jerry Maguire,"Streaming Nov 1, 2012",positive,85%,positive,79%
3201,The Croods,"Streaming Nov 25, 2015",positive,71%,positive,77%
3202,The Servant,"Streaming Nov 7, 2015",positive,90%,positive,89%
3203,Cropsey,"Streaming Nov 1, 2016",positive,91%,positive,61%
3204,Dune,"Streaming Oct 1, 2014",negative,36%,positive,65%
3205,Freaky Friday,"Streaming May 27, 2016",positive,88%,negative,58%
3206,La Haine,"Streaming Mar 23, 2017",positive,96%,positive,95%
3207,Of Mice and Men,"Streaming Sep 7, 2010",positive,97%,positive,82%
3208,The Ghost Writer,"Streaming Aug 26, 2016",positive,84%,positive,70%
3209,Herself,"Streaming Jan 8, 2021",positive,94%,positive,84%
3210,I Lost My Body,"Streaming Nov 29, 2019",positive,97%,positive,83%
3211,Leaving Las Vegas,"Streaming Jul 4, 2014",positive,91%,positive,85%
3212,The Untouchables,"Streaming Jun 6, 2014",positive,83%,positive,89%
3213,Waterworld,"Streaming Jan 5, 2016",negative,46%,negative,44%
3214,A Return to Salem's Lot,"Streaming Nov 7, 2008",,,negative,22%
3215,Brotherhood of the Wolf,"Streaming Jul 27, 2021",positive,73%,positive,78%
3216,Collateral Beauty,"Streaming Mar 14, 2017",negative,14%,positive,64%
3217,The Invisible Guest,"Streaming Jul 9, 2017",positive,67%,positive,87%
3218,The Report,"Streaming Nov 22, 2019",positive,83%,positive,82%
3219,A Hidden Life,"Streaming Jan 3, 2020",positive,82%,positive,72%
3220,All Dogs Go to Heaven,"Streaming Mar 23, 2017",negative,44%,positive,63%
3221,Byzantium,"Streaming Mar 22, 2016",positive,66%,negative,51%
3222,Get Rich or Die Tryin',"Streaming Jun 15, 2011",negative,17%,positive,70%
3223,Gilda,"Streaming Jan 27, 2015",positive,90%,positive,88%
3224,Night School,"Streaming Dec 10, 2018",negative,27%,negative,38%
3225,True Lies,"Streaming Oct 7, 2016",positive,70%,positive,76%
3226,Big Daddy,"Streaming Apr 16, 2012",negative,39%,positive,74%
3227,Blast From the Past,"Streaming Jan 23, 2009",negative,58%,negative,57%
3228,Cha Cha Real Smooth,"Streaming Jun 17, 2022",positive,85%,positive,61%
3229,Detachment,"Streaming May 16, 2012",negative,59%,positive,74%
3230,Field of Dreams,"Streaming Jun 15, 2012",positive,88%,positive,86%
3231,High School Musical,"Streaming Dec 5, 2016",positive,67%,positive,74%
3232,I Don't Feel at Home in This World Anymore,"Streaming May 23, 2017",positive,89%,positive,77%
3233,It's a Wonderful Knife,"Streaming Dec 22, 2023",negative,55%,positive,72%
3234,Shooter,"Streaming Aug 1, 2013",negative,47%,positive,80%
3235,The Diary of a Teenage Girl,"Streaming Aug 10, 2016",positive,95%,positive,73%
3236,The Sentinel,"Streaming May 18, 2016",negative,45%,negative,44%
3237,Vacancy,"Streaming Feb 25, 2014",negative,55%,negative,42%
3238,Big Trouble in Little China,"Streaming Nov 25, 2015",positive,73%,positive,82%
3239,Munich: The Edge of War,"Streaming Jan 21, 2022",positive,85%,positive,78%
3240,Parallel,"Streaming Feb 23, 2024",,,positive,74%
3241,Begin Again,"Streaming Oct 17, 2014",positive,83%,positive,81%
3242,Match Point,"Streaming Jun 6, 2014",positive,77%,positive,81%
3243,Maybe I Do,"Streaming Feb 14, 2023",negative,31%,positive,61%
3244,Sniper: The White Raven,"Streaming Jul 1, 2022",positive,72%,positive,70%
3245,Tell Me Who I Am,"Streaming Oct 18, 2019",positive,97%,positive,86%
3246,The Black Mass,"Streaming Feb 27, 2024",,,,
3247,The Midnight Sky,"Streaming Dec 23, 2020",negative,50%,negative,26%
3248,The Wrong Missy,"Streaming May 19, 2020",negative,33%,negative,56%
3249,Vampires vs. The Bronx,"Streaming Oct 2, 2020",positive,90%,negative,45%
3250,2 Hearts,"Streaming Jan 21, 2021",negative,17%,positive,87%
3251,Breakdown,"Streaming Jul 1, 2013",positive,83%,positive,68%
3252,Cursed,"Streaming May 23, 2016",negative,16%,negative,30%
3253,Diary of a Wimpy Kid,"Streaming Jul 1, 2013",negative,54%,negative,49%
3254,Donnie Brasco,"Streaming Apr 16, 2012",positive,88%,positive,89%
3255,Gone Baby Gone,"Streaming Apr 21, 2016",positive,94%,positive,86%
3256,"I, Tonya","Streaming Feb 24, 2018",positive,90%,positive,88%
3257,Johnny Puff: Secret Mission,"Streaming Jul 17, 2024",,,positive,91%
3258,Synchronic,"Streaming Nov 21, 2020",positive,78%,positive,76%
3259,All Eyez on Me,"Streaming Jul 10, 2017",negative,17%,negative,54%
3260,Raging Bull,"Streaming Nov 25, 2016",positive,92%,positive,93%
3261,Runaway Jury,"Streaming Nov 25, 2015",positive,73%,positive,75%
3262,Showgirls,"Streaming Nov 25, 2016",negative,23%,negative,38%
3263,Spawn,"Streaming Jul 1, 2008",negative,17%,negative,37%
3264,The Jack in the Box,"Streaming May 5, 2020",negative,17%,negative,27%
3265,The Lie,"Streaming Oct 6, 2020",negative,45%,negative,34%
3266,The Visitor,"Streaming Jan 7, 2017",positive,89%,positive,84%
3267,They Look Like People,"Streaming Dec 30, 2016",positive,92%,negative,58%
3268,Angel Heart,"Streaming Jul 1, 2013",positive,82%,positive,81%
3269,Carnival of Souls,"Streaming Sep 1, 2012",positive,86%,positive,73%
3270,Clean,"Streaming Jan 28, 2022",negative,46%,negative,56%
3271,Devotion,"Streaming Jan 8, 2023",positive,81%,positive,92%
3272,Disney's A Christmas Carol,"Streaming Jan 1, 2014",negative,52%,negative,58%
3273,Dogtooth,"Streaming Aug 10, 2016",positive,93%,positive,76%
3274,Henry V,"Streaming Sep 16, 2008",positive,98%,positive,89%
3275,Riders of Justice,"Streaming May 21, 2021",positive,96%,positive,89%
3276,Still: A Michael J. Fox Movie,"Streaming May 12, 2023",positive,99%,positive,95%
3277,The Ron Clark Story,"Streaming Aug 16, 2018",,,positive,85%
3278,The Simpsons Movie,"Streaming Apr 19, 2016",positive,87%,positive,77%
3279,Twin Peaks: Fire Walk With Me,"Streaming Oct 30, 2014",positive,63%,positive,78%
3280,When a Stranger Calls,"Streaming Apr 16, 2012",negative,8%,negative,43%
3281,Blood Simple,"Streaming Mar 1, 2016",positive,94%,positive,88%
3282,Indiana Jones and the Last Crusade,"Streaming Jan 28, 2014",positive,84%,positive,94%
3283,Judy,"Streaming Sep 27, 2019",positive,82%,positive,85%
3284,"Kiss Kiss, Bang Bang","Streaming May 19, 2016",positive,86%,positive,87%
3285,Mr. Monk's Last Case: A Monk Movie,"Streaming Dec 8, 2023",positive,96%,positive,80%
3286,Pride and Prejudice and Zombies,"Streaming Sep 10, 2016",negative,47%,negative,45%
3287,Romance,"Streaming Nov 19, 2021",negative,49%,negative,45%
3288,Sin City,"Streaming Sep 3, 2016",positive,76%,positive,78%
3289,The Abyss,"Streaming Feb 16, 2024",,,negative,28%
3290,Hold the Dark,"Streaming Sep 28, 2018",positive,69%,negative,33%
3291,P2,"Streaming Nov 1, 2014",negative,35%,negative,36%
3292,Polaroid,"Streaming Sep 17, 2019",,,negative,29%
3293,Rise of the Guardians,"Streaming Nov 25, 2015",positive,75%,positive,80%
3294,Saloum,"Streaming Sep 8, 2022",positive,96%,positive,69%
3295,Arthur Christmas,"Streaming Nov 6, 2012",positive,92%,positive,77%
3296,"Batman: The Long Halloween, Part One","Streaming Jun 22, 2021",positive,100%,positive,88%
3297,Ice Age: Collision Course,"Streaming Sep 30, 2016",negative,18%,negative,39%
3298,Rain Man,"Streaming Sep 2, 2015",positive,88%,positive,90%
3299,Star Trek Into Darkness,"Streaming May 14, 2015",positive,84%,positive,89%
3300,The Fabulous Four,"Streaming Aug 13, 2024",negative,27%,positive,71%
3301,The Longest Ride,"Streaming Jan 4, 2016",negative,31%,positive,71%
3302,The Thing,"Streaming Apr 1, 2012",positive,87%,positive,73%
3303,The Woman,"Streaming May 22, 2017",positive,73%,negative,55%
3304,Edge of Darkness,"Streaming Apr 30, 2012",negative,54%,negative,49%
3305,Silent Night,"Streaming Dec 3, 2021",positive,66%,negative,48%
3306,The Brood,"Streaming Nov 20, 2016",positive,81%,positive,68%
3307,The Commuter,"Streaming Mar 22, 2018",negative,55%,negative,40%
3308,The Secret World of Arrietty,"Streaming Dec 16, 2019",positive,94%,positive,85%
3309,Vera Drake,"Streaming Feb 28, 2012",positive,93%,positive,84%
3310,Angels & Demons,"Streaming Nov 24, 2009",negative,36%,negative,57%
3311,Coup de Chance,"Streaming Apr 12, 2024",positive,82%,positive,78%
3312,Crash,"Streaming Dec 4, 2014",positive,73%,positive,88%
3313,Dallas Buyers Club,"Streaming Feb 4, 2014",positive,92%,positive,91%
3314,Inside Llewyn Davis,"Streaming Mar 11, 2014",positive,92%,positive,74%
3315,Revolutionary Road,"Streaming May 25, 2012",positive,67%,positive,71%
3316,Rocky IV,"Streaming Aug 9, 2015",negative,39%,positive,79%
3317,The Disaster Artist,"Streaming Feb 17, 2018",positive,91%,positive,85%
3318,The Frozen Ground,"Streaming Jun 2, 2015",positive,61%,negative,50%
3319,"The Hunger Games: Mockingjay, Part 1","Streaming Aug 26, 2016",positive,69%,positive,71%
3320,The Sisters Brothers,"Streaming Jan 22, 2019",positive,87%,positive,69%
3321,Concrete Utopia,"Streaming Jan 26, 2024",positive,100%,positive,77%
3322,Dog Day Afternoon,"Streaming Aug 15, 2008",positive,96%,positive,90%
3323,Get Him to the Greek,"Streaming Feb 12, 2014",positive,72%,positive,62%
3324,Spencer,"Streaming Nov 23, 2021",positive,83%,negative,52%
3325,Annie,"Streaming Dec 10, 2015",negative,28%,negative,59%
3326,Badland Hunters,"Streaming Jan 26, 2024",positive,67%,negative,58%
3327,Hannah and Her Sisters,"Streaming Sep 20, 2015",positive,91%,positive,90%
3328,Hercules,"Streaming Aug 1, 2016",negative,58%,negative,48%
3329,In Fabric,"Streaming Nov 19, 2019",positive,92%,negative,53%
3330,Knight of Cups,"Streaming Jun 14, 2016",negative,47%,negative,37%
3331,Mary Poppins Returns,"Streaming Mar 12, 2019",positive,79%,positive,64%
3332,Serenity,"Streaming Feb 12, 2014",positive,82%,positive,91%
3333,The Retirement Plan,"Streaming Oct 17, 2023",positive,60%,negative,41%
3334,The Witch: Part 1 - The Subversion,"Streaming Mar 10, 2020",positive,89%,positive,86%
3335,Dark Skies,"Streaming Mar 21, 2017",negative,42%,negative,49%
3336,El Conde,"Streaming Sep 15, 2023",positive,83%,positive,62%
3337,Hustlers,"Streaming Sep 13, 2019",positive,88%,positive,65%
3338,Operation Blood Hunt,"Streaming Oct 4, 2024",,,,
3339,"Ruby Gillman, Teenage Kraken","Streaming Jul 18, 2023",positive,66%,positive,82%
3340,Silverado,"Streaming May 25, 2010",positive,78%,positive,80%
