Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Sam Mendes,"Pippa Harris,Sam Mendes",Sam Mendes,Searchlight Pictures,"Searchlight Pictures,Neal Street Productions",R (Language|Brief Violence|Sexual Content),"Romance,Drama",English,"Dec 9, 2022, Wide","Feb 7, 2023",1h 59m,Dolby Digital,Empire of Light,$1.2M,Scope (2.35:1),,
Tom Whitus,"Tom Whitus,Kevin Avery",Tom Whitus,,Silver Hills Pictures,,Drama,English,,"Apr 11, 2021",1h 20m,,End of the Road,,,,
Martin Wood,"Brad Krevoy,Steven R. McGlothen","Gregg Rossen,Brian Sawyer",,Netflix Studios,,"Holiday,Romance,Comedy",English,,"Nov 5, 2020",1h 35m,,Operation Christmas Drop,,,,
Cal Brunker,Jennifer Dodge,"Billy Frolick,Cal Brunker,Bob Barlen",Paramount Pictures,"Paramount Animation,Paramount Pictures,Spin Master Entertainment,Nickelodeon Movies,Nickelodeon Animation Studios",G,"Kids & Family,Comedy,Adventure,Action,Animation",English,"Aug 20, 2021, Wide","Aug 20, 2021",1h 25m,,PAW Patrol: The Movie,$40.0M,Scope (2.35:1),,
Stefan Puente,"Paul Luba,Stefan Puente",Paul Luba,,,,"Drama,Mystery & Thriller",English,"Apr 21, 2020, Limited",,13m,,Unlocked,,,,
Sean King O'Grady,"Bill Stertz,Josh Malerman,Ryan Lewis,Peter Block",Max Booth III,IFC Midnight,"Hantz Motion Pictures,Atlas Industries,A Bigger Boat,Spin a Black Yarn",,Horror,English,"Sep 3, 2021, Limited","Sep 3, 2021",1h 37m,,We Need to Do Something,$12.4K,,,
Karen Maine,"Katie Cordeal,Colleen Hammond,Eleanor Columbus,Rodrigo Teixeira",Karen Maine,Vertical Entertainment,"Maiden Voyage Films,RT Features",R (Some Nudity|Sexual Content),Comedy,English,"Jul 24, 2020, Limited","Jul 28, 2020",1h 18m,,"Yes, God, Yes",,,,
George Cukor,"James C. Katz,Jack L. Warner",Alan Jay Lerner,Warner Bros. Pictures,Warner Brothers,G,Musical,English,"Oct 21, 1964, Limited","Nov 9, 2020",2h 50m,"Mono,Dolby Digital,DTS",My Fair Lady,$447.6K,,,
Matt Sconce,"Christopher Mejia,Matt Sconce","Matt Sconce,Christopher Mejia",,"Movie Heroes Studios,Plus Ultra Pictures",R,"Mystery & Thriller,Drama",English,,"Mar 8, 2022",1h 34m,,The Girl on the Mountain,,,,
Evan Morgan,"Jonathan Bronfman,William Woods",Evan Morgan,"Stage 6,Sony Pictures Entertainment","Woods Entertainment,JoBro Productions & Film Finance",R (Drug Use|Brief Nudity|Language|Some Sexual References|Violence),Comedy,English,"Oct 16, 2020, Limited","Nov 21, 2020",1h 39m,,The Kid Detective,$363.2K,Scope (2.35:1),,
Rob Zombie,"Rob Zombie,Mike Elliott",Rob Zombie,,"Universal 1440 Entertainment,Hero Squared",PG (Scary Images|Macabre & Suggestive Material|Language),"Kids & Family,Comedy,Fantasy",English,,"Sep 27, 2022",1h 50m,Dolby Digital,The Munsters,,,,
Mikael Håfström,"Rory Aitken,Brian Kavanaugh-Jones,Anthony Mackie,Ben Pugh,Erica Steinberg","Rowan Athale,Rob Yescombe",,"Pioneer Stilking Films,Leeding Media,Automatik Entertainment,Make It With Gravy Productions,42,Inspire Entertainment,Netflix",R (Language Throughout|Strong Violence),"Action,Sci-Fi",English,,"Jan 15, 2021",1h 55m,,Outside the Wire,,,,
Richard Gray,"Andrew Curry,Nick Farnell,Richard Gray,Anna Hutchison,Angus Macfadyen,Cameron Nugent","Eric Belgau,Angus Macfadyen",,Yellow Brick Films,,"History,Drama,War",English,,"Apr 24, 2020",2h 4m,,Robert the Bruce,,Scope (2.35:1),,
Tayarisha Poe,"Anne Carey,Tayarisha Poe",Tayarisha Poe,Republic Pictures,"Archer Gray,FilmNation Entertainment",R (Language and Some Drug Use),Drama,English,"May 31, 2024, Limited","May 31, 2024",1h 38m,Dolby Digital,The Young Wife,,,,
Christopher Ray,,"Lauren Pritchard,Joe Roche,Lauren Pritchard,Joe Roche",The Asylum,"Mini Nation Pictures,The Asylum",,"Action,Horror,Sci-Fi",English,"Aug 2, 2024, Limited","Aug 2, 2024",1h 20m,,Meth Gator,,,,
"Austin Bragg,Meredith Bragg","Summer Crockett Moore,Tony Glazer,Stacey Parks,Lana Link,Rob Pfaltzgraff","Austin Bragg,Meredith Bragg",Vertical Entertainment,"MPI Original Films,Choice Films",,"Comedy,Drama",English,"Mar 17, 2023, Limited","Mar 17, 2023",1h 31m,,Pinball: The Man Who Saved the Game,,,,
Katt Shea,"Dan Angel,Jane Charles,Brian Gott",Karen Janszen,,Fezziwig Studios,,Drama,English,,"Mar 17, 2022",1h 30m,,Rescued by Ruby,,,,
Lawrence Fowler,Lawrence Fowler,Lawrence Fowler,,Up a Notch Productions,,Horror,British English,,"May 5, 2020",1h 27m,,The Jack in the Box,,Digital 2.39:1,,
Lorena Muñoz,,,Netflix,Netflix,,"Documentary,Crime",Spanish,,"Oct 10, 2024",1h 35m,,Breaking the Silence: The Maria Soledad Case,,,,
Ken Cunningham,Daniel Langlois,Eugene Son,Disney+,,,"Animation,Comedy,Sci-Fi",English,,"Oct 18, 2024",44m,,LEGO Marvel Avengers: Mission Demolition,,,,
Andrew Gaynord,"Tom Palmer,George Cave","Tom Palmer,Tom Stourton",Super LTD,"Ellipsis Pictures,Molten Keys,Endeavor Content,Totally Tom Films,Ravanburn,Fonic",R (Brief Graphic Nudity|Language Throughout|Drug Use),"Comedy,Horror,Mystery & Thriller",English,"Mar 11, 2022, Limited","Mar 25, 2022",1h 33m,,All My Friends Hate Me,$78.4K,,,
Debbie Isitt,"Nick Jones,Chris Bunyan",Debbie Isitt,,Mirrorball Films,,"Adventure,Comedy,Drama",British English,,"Nov 23, 2022",1h 42m,,Christmas on Mistletoe Farm,,,,
Yukihiko Tsutsumi,"Daiji Horiuchi,Satoshi Matsui,Akihito Watanabe,Keiichi Matsumoto,Nobuhito Nagasaka,Yoshihito Nakabe,Shinji Nakano,Yusuke Tanaka,Atsushi Morita,Atsushi Igarashi,Naohiko Ninomiya,Tomoka Takagi,Seiichiro Kobayashi",Taeko Asano,,"Kadokawa Daiei Studio,Office Crescendo",,"Mystery & Thriller,Drama",Japanese,,,1h 59m,,First Love,,,,
Richard Lang,Richard Lang,Michael Fisher,,Aaron Spelling Productions,,Action,English,,,1h 36m,,Shooting Stars,,,,
Duncan Birmingham,Mary Pat Bentel,Duncan Birmingham,,Shudder,,"Horror,Comedy",English,,"Sep 1, 2022",1h 21m,,Who Invited Them,,,,
Miguel Arteta,"Ben Everard,Jennifer Garner,Lawrence Grey,Nicole King,Daniel Rappaport",Justin Malen,,"Entertainment 360,Grey Matters Productions",PG (Brief Language|Rude and Suggestive Material),Comedy,English,,"Mar 12, 2021",1h 29m,,Yes Day,,,,
"Charles Guard,Thomas Guard","Rebecca L. Brown,Chris Coen,Brian Coffey,Thorsten Schumacher","Ronan Bennett,Charles Guard,Thomas Guard",Amor Media,"Stylopik,Piecrust Pictures,Vested Interest,The Searchers NV,Highland Midgie,Ingenious Media,Upper Street,Rocket Science,Screen Scotland",,"Action,Mystery & Thriller,Drama",British English,"Aug 18, 2023, Limited","Aug 18, 2023",1h 32m,,Dead Shot,,,,
"John Hoffman,Janet Tobias","Jon Bardin,Alexandra Moss,John Hoffman,Robert Lopez,Mark Monroe",,Magnolia Pictures,"National Geographic Documentary,Story Syndicate",PG-13 (Some Strong Language|Thematic Material|Some Suggestive Material),Documentary,English,"Sep 10, 2021, Limited","Oct 6, 2021",1h 45m,,Fauci,,Flat (1.85:1),,
Alfred Sole,Doug Chapin,"Richard Whitley,Jaime Barton Klein",,TMC Venture,PG,Comedy,English,,,1h 22m,,Pandemonium,,,,
,,,,,,Drama,Russian,,,3h 12m,,Snow Falls,,,,
Brian Andrew Mendoza,"Jeffrey Fierson,Brian Andrew Mendoza,Jason Momoa,Brad Peyton","Philip Eisner,Gregg Hurwitz,Will Staples",,"ASAP Entertainment,Pride of Gypsies",R (Language|Some Strong Violence),Mystery & Thriller,English,,"Aug 20, 2021",1h 50m,Dolby Digital,Sweet Girl,,,,
Nikole Beckwith,"Daniela Taplin Lundberg,Anthony Brandonisio,Tim Headington",Nikole Beckwith,Bleecker Street Media,"Wild Idea,Haven Entertainment,Stay Gold Features",R (Some Sexual References|Language),"Comedy,Drama",English,"Apr 23, 2021, Wide","Apr 26, 2021",1h 30m,,Together Together,$1.4M,,,
Safy Nebbou,Michel Saint-Jean,"Safy Nebbou,Camille Laurens,Julie Peyr,Safy Nebbou,Julie Peyr",Cohen Media Group,"Diaphana Films,Scope Pictures,France 3 Cinéma",,"Romance,Drama",French (France),"Sep 3, 2021, Limited","Nov 2, 2021",1h 41m,,Who You Think I Am,$45.3K,,,
Travis Stevens,"Travis Stevens,Joe Barbagallo,Laurence Gendron","Travis Stevens,Nathan Faudree",,"Snowfort Pictures,BarBHouse,HorrorHound Films,Genco Pictures",,"Horror,Mystery & Thriller",English,,"Dec 1, 2022",1h 31m,,A Wounded Fawn,,,,
Tom Dey,John Davis,"Tim Rasmussen,Vince Di Meglio",20th Century Fox,Davis Entertainment,PG (Some Rude Humor and Language),"Kids & Family,Comedy",English,"Jun 4, 2010, Wide","Mar 1, 2013",1h 28m,"Dolby Digital,DTS",Marmaduke,$33.6M,Scope (2.35:1),,
Eric Schultz,"Justin Moretto,Ross O'Connor,Eric Schultz,Nicolai Schwarzkopf,Thomas Torrey","Eric Schultz,Justin Moretto,Thomas Torrey",,"Bad Theology,Uncorked Productions,Relic Pictures",,"Sci-Fi,Mystery & Thriller",English,,"Dec 4, 2020",1h 34m,,Minor Premise,,,,
Raj Mukherjee,,,,,,Drama,Bangla,,"Nov 24, 2020",2h 25m,,Nagordola,,,,
Justin Kurzel,"Nick Batzias,Shaun Grant,Justin Kurzel,Virginia Whitwell",Shaun Grant,IFC Films,"GoodThing Productions,Melbourne International Film Festival",,"Mystery & Thriller,Crime,Drama",Australian English,"Mar 30, 2022, Limited","Mar 30, 2022",1h 52m,,Nitram,,,,
Jean Dréville,Louis de Masure,,,Filmsonor,,Comedy,Canadian French,,,1h 25m,,Sputnik,,,,
Bomani J. Story,"Darren Brandl,Jack Davis,Bomani J. Story",Bomani J. Story,RLJE Films,Crypt TV,,"Horror,Mystery & Thriller",English,"Jun 9, 2023, Limited","Jun 23, 2023",1h 32m,,The Angry Black Girl and Her Monster,$118.7K,,,
Ben Falcone,"Ben Falcone,Melissa McCarthy,Marc Platt,Adam Siegel",Ben Falcone,,"Marc Platt Productions,Netflix",PG-13 (Some Action/Violence|Mild Suggestive Material|Language),"Comedy,Adventure",English,,"Apr 9, 2021",1h 47m,"Dolby Atmos,Dolby Digital",Thunder Force,,Scope (2.35:1),,
"William Kaufman,Johnny Strong","Johnny Strong,Nicole Kaufman","William Kaufman,Johnny Strong",Well Go USA Entertainment,"Operator Films,Doco Digital",R,"Drama,Action,War",English,"Jun 30, 2023, Limited","Jul 4, 2023",2h 6m,,Warhorse One,,,,
Brad Furman,"Miriam Segal,Stuart Manashil,Paul Brennan",Christian Contreras,Saban Films,"Global Road Entertainment,Good Films",R (Language Throughout|Drug Use|Some Violence),"Crime,Drama,Mystery & Thriller",English,"Mar 19, 2021, Wide","Apr 9, 2021",1h 54m,Dolby Digital,City of Lies,$565.7K,Scope (2.35:1),,
Julie Taymor,"Sarah Green,Salma Hayek,Jay Polstein,Lizz Speed,Nancy Hardin,Lindsay Flickinger,Roberto Sneider","Hayden Herrera,Clancy Sigal,Diane Lake,Gregory Nava,Anna Thomas",Miramax Films,"Ventanarosa Productions,Miramax Films,Handprint Entertainment,Trimark Pictures",R (Nudity|Language|Sexuality),"Biography,Drama",English,"Oct 25, 2002, Original","Oct 11, 2016",2h 3m,"Dolby SR,DTS,Dolby Stereo,Surround,Dolby A,Dolby Digital",Frida,$25.8M,Flat (1.85:1),,
Nicol Paone,"Malin Akerman,Haroon Saleem,Ben Stiller,Nicholas Weinstock",Nicol Paone,Saban Films,"Red Hour Films,Rhea Films (II)",R (Language Throughout|Drug Use|Crude Sexual Content),"Holiday,Comedy",English,"Oct 23, 2020, Limited","Oct 23, 2020",1h 35m,,Friendsgiving,,,,
Regina King,"Jessica Calder,Keith Calder,Jody Klein",Kemp Powers,Amazon Studios,"ABKCO Films Inc.,Snoot Entertainment",R (Language Throughout),Drama,English,"Dec 25, 2020, Limited","Jan 15, 2021",1h 50m,,One Night in Miami,,Scope (2.35:1),,
Thornton Freeland,Alexander Korda,,,London Film Production,,"Romance,Comedy",English,,,1h 18m,,Over the Moon,,,,
Marcello Baldi,,,,,R,"Crime,Drama",English,,,1h 35m,,Stuntman,,,,
H.P. Mendoza,"Tina Carbone,Jonathan Lim,Grant Rosenmeyer,Benjamin Wiessner",Jesse Orenshein,Level 33 Entertainment,"Florida Hill Entertainment,Codaheart,Marginal Mediaworks,Vanishing Angle,City Hill Arts,Rogue Wave Pictures,Chicago Media Angels,Dweck Productions,Ersatz Film",,"Comedy,Drama,Fantasy,Mystery & Thriller",English,"Jul 5, 2024, Limited","Aug 23, 2024",1h 47m,,The Secret Art of Human Flight,,,,
Jesse Edwards,"Jesse Edwards,Joel Edwards",Jesse Edwards,Blue Fox Entertainment,Evolve Studios,PG-13 (Violence|A Sexual Reference|Some Strong Language|Smoking),"Western,Action,Drama,Mystery & Thriller",English,"Feb 23, 2022, Limited","Apr 15, 2024",1h 45m,,The Stolen Valley,,,,
"Roberto De Feo,Paolo Strippoli","Maurizio Totti,Alessandro Usai","Lucio Besana,David Bellini,Milo Tissone,Roberto De Feo",,"Rainbow S.p.A.,Colorado Film Production,Netflix Studios,Apulia Film Commission",,"Horror,Mystery & Thriller",Italian,,"Jul 14, 2021",1h 35m,Dolby Digital,A Classic Horror Story,,,,
Charles T. Kanganis,Jack Nasser,Charles T. Kanganis,,"Stage 6 Films,Nasser Group,Montage Entertainment",R (Rape|Nudity|Language|Some Violence|Strong Sexual Content),Mystery & Thriller,English,,"May 30, 2008",1h 41m,,Impulse,,,,
"Johannes Hartmann,Sandro Klopfstein",Valentin Greutert,"Sandro Klopfstein,Johannes Hartmann,Trent Haaga,Gregory D. Widmer",Raven Banner Entertainment,"Swissploitation Films,A Film Company",,"Action,Adventure,Comedy,Horror",English,"Jun 21, 2023, Limited","Dec 8, 2022",1h 32m,,Mad Heidi,,Digital 2.39:1,,
Mitch Leisen,Mitch Leisen,Preston Sturges,,Paramount,,"Holiday,Romance,Comedy",English,,"Oct 8, 2020",1h 34m,,Remember the Night,,,,
Amy Holden Jones,,Amy Holden Jones,,Santa Fe Productions,R,Horror,English,,"Sep 21, 2017",1h 13m,,Slumber Party Massacre,,Flat (1.85:1),,
Miles Joris-Peyrafitte,"Shaun Sanghani,Siena Oberman,Emma Tillinger Koskoff","Miles Joris-Peyrafitte,Madison Harrison",Vertical,"SSS Entertainment,Artemis Pictures",R (Language Throughout|Drug Material|Some Violent Content),"Mystery & Thriller,Crime,Drama",English,"Sep 1, 2023, Limited","Sep 19, 2023",1h 29m,,The Good Mother,$367.0K,,,
Mukunda Michael Dewil,"Daniel Baur,Joel David Moore,Doug Murray",Mukunda Michael Dewil,Screen Media Films,"K5 Film,Balcony 9 Productions,Productivity Media",R (Some Drug Use and Nudity),"Mystery & Thriller,Sci-Fi,Drama",English,"Aug 19, 2022, Limited","Aug 19, 2022",1h 28m,,The Immaculate Room,,Scope (2.35:1),,
Castille Landon,"Mark Canton,Jennifer Gibgot,Aron Levitz,Brian Pitt,Courtney Solomon",Sharon Soboil,,"CalMaple,Wattpad",R (Sexual Content|Language),"Romance,Drama",English,,"Oct 19, 2021",1h 39m,,After We Fell,$2.1M,,,
Luke Sommer,"Rachel Sommer,Jan Sommer,Matthew Sommer",Rachel Sommer,Gravitas Ventures,Whisperstone,,"Mystery & Thriller,Horror",English,,"Feb 13, 2024",1h 28m,,Cellphone,,,,
Pradeep Sarkar,Aditya Chopra,Gopi Puthran,Yash Raj Films,Yash Raj Films,,"Action,Mystery & Thriller,Crime,Drama",Hindi,"Aug 22, 2014, Limited","Nov 5, 2015",2h 32m,,Mardaani 2,,,,
Nathan Frankowski,Paul Sirmons,Lucy Tennessee Cole,,Chickasaw Nation Productions,,Western,English,,"Nov 1, 2021",1h 36m,,Montford: The Chickasaw Rancher,,,,
Bryan Storkel,,,Netflix,,,"Crime,Documentary",English,,"Jan 1, 2024",1h 34m,,Bitconned,,,,
Federica Di Giacomo,Francesco Virga,"Federica Di Giacomo,Andrea Osvaldo Sanguigni",,"RAI Cinema,Procirep,France 3 Cinéma",,Documentary,Italian,,"Oct 24, 2017",1h 29m,,Deliver Us,,,,
Allan A. Goldstein,"Luciano Lisi,Claude Léger",,,Columbia,PG,Drama,English,,"Mar 2, 2017",1h 34m,,Home Team,,,,
Eddie Sternberg,Christopher Pencakowski,Eddie Sternberg,,Film London,,Drama,British English,,"Oct 16, 2020",19m,,I Used to Be Famous,,,,
Adam Randall,"Vincent Gatewood,Charlie Morrison,Ben Pugh",Brent Dillon,,"42,Unique Features",,"Mystery & Thriller,Crime,Drama",English,,"Oct 20, 2021",1h 47m,,Night Teeth,,,,
Jeffrey Walker,"Todd Fellman,Blanca Lista",Leon Ford,MGM+,"The Jim Henson Company,MEP Capital,Story Bridge Films",,"Fantasy,Adventure,Comedy",Australian English,,"Apr 8, 2023",1h 56m,,The Portable Door,,,,
Michael Winterbottom,"Andrew Eaton,Melissa Parmeter",,IFC Films,"Baby Cow Productions,Revolution Films,BBC",,Comedy,English,"Jun 10, 2011, Limited","Nov 12, 2015",1h 49m,,The Trip,$2.0M,Flat (1.85:1),,
Laura Murphy,,"Krister Johnson,Owen Burke,Marina Cockenberg,Kerry O'Neill",,,TV-MA (Language),"Comedy,Holiday,Mystery & Thriller",English,,"Dec 15, 2022",52m,,Who Killed Santa? A Murderville Murder Mystery,,,,
Derek Ting,"Derek Ting,Joyce Yung",Derek Ting,Quiver Distribution,"Random Art Workshop,Quiver Distribution,BondIt Media Capital",,"Action,Sci-Fi",English,,"Jun 21, 2024",1h 24m,,Agent Recon,,,,
Rebekah McKendry,"Stefan Brunner,Ed Elbert,James Norrie",Travis Seppala,Shudder,"Manitoba Film & Music,Fearworks,Head Gear Films,Buffalo Gal Pictures,Metrol Technology",,Horror,English,,"Sep 15, 2023",1h 34m,,Elevator Game,,,,
Michael Cohn,,,,Trimark,R,Action,English,,"Jan 4, 2016",1h 28m,"Stereo,Surround",Interceptor,,,,
Scott Weintrob,"Monika Bacardi,Jeff Bowler,Andrea Iervolino,Danielle Maloni,David E. Ornston,Bret Saxon","Samuel Bartlett,Ferdinando Dell'Omo,Andrea Iervolino",Gravitas Ventures,Iervolino & Lady Bacardi Entertainment,,"Action,Mystery & Thriller",English,,"Sep 24, 2024",1h 27m,,Paradox Effect,,,,
Charlie Russell,Andrew Slater,,,,,"Biography,Documentary",English,,"Aug 24, 2022",1h 45m,,Running with the Devil: The Wild World of John McAfee,,,,
Anthony Fankhauser,David Michael Latt,"Anthony Fankhauser,Jon Macy",,The Asylum,,"Sci-Fi,Action",English,,"Jan 8, 2017",1h 30m,,Supernova,,,,
Zach Clark,"Joe Swanberg,Edwin Linker",Zach Clark,Dark Star Pictures,Slasher Films,,"Comedy,Horror,Sci-Fi",English,"Aug 23, 2024, Limited","Sep 24, 2024",1h 26m,,The Becomers,,,,
Bruno de Almeida,Bruno de Almeida,"Bruno de Almeida,John Frey,Anthony Zaccaro",,,,Drama,Portuguese,,,1h 21m,,The Lovebirds,,,,
William Sullivan,"Jess Weiss,Sarah Wharton,Brandon Roots,William Sullivan,Jarret F. Kerr","Jarret F. Kerr,William Sullivan",Saban Films,"Copperline Creative,Dream Queen Productions",R (Some Strong Violence|Some Sexuality|Language Throughout),"Action,Mystery & Thriller",English,"Oct 8, 2021, Limited","Oct 8, 2021",1h 55m,,American Insurrection,,,,
Athina Rachel Tsangari,"Maria Hatzakou,Athina Rachel Tsangari","Athina Rachel Tsangari,Efthimis Filippou",Strand Releasing,Faliro House,,Comedy,Greek,"May 27, 2016, Limited","Jan 4, 2017",1h 44m,,Chevalier,$25.7K,,,
Philippe Mora,"Dan Allingham,Philippe Mora,Whitley Strieber",Whitley Strieber,,"Allied Vision,The Picture Property Company,Pheasantry Films",R,Sci-Fi,English,"Nov 10, 1989, Limited","Jan 10, 2021",1h 43m,"Surround,Stereo",Communion,$1.9M,,,
"Matt Angel,Suzanne Coote",Michael J. Luisi,Richard D'Ovidio,,The Long Game,,"Horror,Mystery & Thriller",English,,"Oct 27, 2021",1h 29m,Dolby Digital,Hypnotic,,Scope (2.35:1),,
David Yarovesky,"Sam Raimi,Romel Adam,Mason Novick,Michelle Knudsen","Mikki Daughtry,Tobias Iaconis",,,,"Fantasy,Horror,Kids & Family",English,,"Sep 15, 2021",,,Nightbooks,,,,
Orson Oblowitz,"Christian de Gallegos,Mira Pak Howard",Orson Oblowitz,SHOUT! STUDIOS,"Christian de Gallegos Films,Benaroya Pictures,BondIt Media Capital,Buffalo 8 Productions",,Action,English,"Nov 10, 2023, Limited","Nov 10, 2023",1h 32m,,Showdown at the Grand,,,,
"Kristin Gore,Damian Kulash","Brian Grazer,Ron Howard,Karen Lunder",Kristin Gore,Apple Original Films,"Apple Original Films,Imagine Entertainment,Apple Studios",R (Language),Comedy,English,"Jul 21, 2023, Limited","Jul 28, 2023",1h 50m,Dolby Digital,The Beanie Bubble,,,,
Zoe Lister Jones,"Jason Blum,Lucy Fisher,Douglas Wick",Zoe Lister Jones,,"Blumhouse Productions,Red Wagon Entertainment,Columbia Pictures",PG-13 (Crude and Sexual Content|Brief Drug Material|Language|Thematic Elements),"Fantasy,Mystery & Thriller,Drama",English,,"Oct 28, 2020",1h 37m,,The Craft: Legacy,,Scope (2.35:1),,
Maryam Keshavarz,"Maryam Keshavarz,Anne Carey,Ben Howe,Luca Borghese,Cory Neal,Peter Block",Maryam Keshavarz,Sony Pictures Classics,"A Bigger Boat,MaraKesh Films,AgX,Archer Gray",R (Some Sexual References|Language),"Comedy,Drama,LGBTQ+,Romance",English,"Oct 20, 2023, Limited","Dec 5, 2023",1h 47m,,The Persian Version,$559.4K,,,
Mona Fastvold,"Casey Affleck,Margarethe Baillou,David Hinojosa,Pamela Koffler,Whitaker Lader","Ron Hansen,Jim Shepard",Bleecker Street Media,"M.Y.R.A. Entertainment,Yellow Bear Films,Hyper Films,Panasper Films,Sea Change Media,Charades,Sailor Bear,Arsia Production,Ingenious Media,Sony Pictures Worldwide Acquisitions (SPWA),Killer Films",R (Some Sexuality/Nudity),"Romance,Drama,LGBTQ+",English,"Feb 12, 2021, Limited","Mar 2, 2021",1h 38m,,The World to Come,$106.3K,,,
Gregory J. Markopoulos,,,,,,Documentary,English,,,6m,,Bliss,,,,
"Werner Herzog,Clive Oppenheimer","André Singer,Lucki Stipetic",Werner Herzog,,"Sandbox Films,Werner Herzog Filmproduktion,Spring Films",,Documentary,English,,"Nov 13, 2020",1h 37m,,Fireball: Visitors From Darker Worlds,,,,
Jason B. Bergh,"Courtney Baxter,Gillian Brown,Lindsay Utz,Stephan Bielecki",Michael Blieden,Amazon MGM Studios,Artists Equity,R (Language),Documentary,English,,"Feb 27, 2024",1h 28m,,The Greatest Love Story Never Told,,,,
Gerry Lively,George Shamieh,"Adrian Fulle,Craig J. Nevius",,,R,Mystery & Thriller,English,,"Sep 14, 2018",1h 38m,,Windfall,,,,
Mike Burns,"Randall Emmett,George Furla,Ceasar Richbow,Mark Stewart,Chad A. Verdi",Bill Lawrence,Vertical Entertainment,"Five Star Films,BondIt Media Capital,Emmett/Furla/Oasis Films,Buffalo 8 Productions,Verdi Productions",,"Action,Mystery & Thriller",English,"Jul 15, 2022, Wide","Jul 15, 2022",1h 36m,,Wrong Place,,,,
Kate Dolan,Deirdre Levins,Kate Dolan,Magnet Releasing,"Bankside Films,Screen Ireland,Fantastic Films",,"Horror,Drama",English,"Mar 25, 2022, Limited","Mar 25, 2022",1h 33m,,You Are Not My Mother,$44.8K,,,
Shawn Seet,"Nathan Ramos-Park,Kylie Du Fresne","Shuang Hu,Nathan Ramos-Park",Prime Video,"Goalpost Pictures,Amazon Studios",,"Comedy,Drama",Australian English,,"Feb 13, 2024",2h 11m,,Five Blind Dates,,,,
Mélanie Laurent,"Guillaume Colboc,Sidonie Dumas,Marc Vadé","Cédric Anger,Christophe Deslandes,Jérôme Mulot,Bastien Vives",Netflix,"Gaumont Production,Netflix France",,"Comedy,Action",French (France),,"Nov 1, 2023",1h 54m,,Wingwomen,,,,
Gavin Rothery,"Philip Herd,Theo James,Cora Palfrey",Gavin Rothery,Vertical Entertainment,"Metrol Technology,Independent,Head Gear Films,Hero Squared,Untapped",R,Sci-Fi,British English,"Jul 10, 2020, Limited","Jul 10, 2020",1h 45m,,Archive,$118.7K,Scope (2.35:1),,
"James Lebrecht,Nicole Newnham","James Lebrecht,Sara Bolder,Nicole Newnham","James Lebrecht,Nicole Newnham",Netflix,Higher Ground Productions,R (Sexual References|Some Language),Documentary,English,,"Mar 25, 2020",1h 47m,,Crip Camp,,,,
Sharan Sharma,"Karan Johar,Hiroo Johar,Apoorva Mehta","Sharan Sharma,Nikhil Mehrotra",,Dharma Productions,,"Biography,Drama",Hindi,,"Aug 13, 2020",1h 52m,,Gunjan Saxena: The Kargil Girl,,,,
Quinn Shephard,"Apolline Berty,Miranda Hill,Caroline Jaczko,Chan Phung,Negin Salmasi,Brad Weston","Quinn Shephard,Quinn Shephard",,"Makeready,Searchlight Pictures",R,"Comedy,Drama",English,,"Jul 29, 2022",1h 40m,,Not Okay,,,,
Éric Valette,"Broderick Johnson,Andrew A. Kosove,Scott Kroopf,Jennie Lew Tugend,Lauren Weissman",Andrew Klavan,Warner Bros.,Intermedia Films,PG-13 (Intense Sequences of Terror|Frightening Images|Intense Sequences of Violence|Some Sexual Material|Thematic Elements),"Horror,Mystery & Thriller",English,"Jan 4, 2008, Wide","Oct 31, 2009",1h 27m,"Dolby SRD,DTS,SDDS",One Missed Call,$26.9M,Flat (1.85:1),,
Mel Eslyn,"Zackary Drucker,Mel Eslyn,Shuli Harel,Maddie Buis","Mel Eslyn,Mark Duplass",IFC Films,Duplass Brothers Productions,,"Sci-Fi,Comedy,Drama",English,"Jul 7, 2023, Limited","Jul 7, 2023",1h 47m,,Biosphere,$59.9K,,,
Nate Dushku,"Nate Dushku,Amnon Lourie,Bobby Appelbaum",Amnon Lourie,TLA Releasing,Murgen Croaker Productions,,"Mystery & Thriller,LGBTQ+",English,,"Jun 25, 2024",1h 27m,,Birder,,,,
Emmanuel Osei-Kuffour,John H. Brister,"Emmanuel Osei-Kuffour,Stephen Herman",,"Amazon Studios,Black Bar Mitzvah,Blumhouse Television",,Mystery & Thriller,English,,"Oct 6, 2020",1h 40m,,Black Box,,Scope (2.35:1),,
Edward Drake,Corey Large,Edward Drake,Lionsgate,"Lionsgate Films,BondIt Media Capital,Lionsgate,Buffalo 8 Productions",R (Violence|Language Throughout|A Sexual Reference),"Action,Mystery & Thriller",English,"Dec 9, 2022, Limited","Dec 9, 2022",1h 33m,,Detective Knight: Redemption,,,,
Castille Landon,"Dori A. Rath,Joseph Restaino,Robert Molloy,Joe Riley",Castille Landon,Lionsgate Films,"Voltage Pictures,Buzzfeed,Hungry Bull Productions,Gem Entertainment,Yellow Eyes Productions",PG-13 (Mature Thematic Content|Disturbing Images|Some Strong Language|Violence/Terror),"Mystery & Thriller,Drama",English,"Feb 12, 2021, Limited","Feb 12, 2021",1h 32m,,Fear of Rain,,Flat (1.85:1),,
