Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
,,,,,,Drama,English,,,4h 0m,The Mistress,,,,,
Mike Elliott,"Mike Elliott,Joseph P. Genier","Blayne Weaver,David H. Steinberg",,"Capital Arts Entertainment,Universal 1440 Entertainment",R (Strong/Crude Sexual Content|Language Throughout|Alcohol and Some Drug Use),Comedy,English,,"Oct 4, 2020",1h 35m,American Pie Presents: Girls' Rules,,,,,
Franco Dipietro,,Franco Dipietro,,,,Drama,Italian,,"Apr 28, 2020",19m,Chernobyl 1986,,,,,
Victoria Rowell,Brandon Lee Ward,Victoria Rowell,Quiver Distribution,"Burke Entertainment,Days Ferry Productions",,"Holiday,Romance,Comedy,Drama",English,,"Nov 8, 2024",1h 31m,Christmas in the Friendly Skies,,,,,
Norman Thaddeus Vane,"Norman Thaddeus Vane,Gloria J. Morrison",,,,R,Comedy,English,,,1h 24m,Midnight,Surround,,,,
Ali Scher,"Christian Hall,Errol Sadler,Ali Scher,Camilo Diaz Caro,Aidan Guthrie","Ali Scher,Joe Swanson",Blue Fox Entertainment,Two Independent Eyes Productions,PG (Thematic Elements),"Kids & Family,Comedy,Adventure",English,"Feb 9, 2024, Limited","Mar 26, 2024",1h 28m,Popular Theory,,,,,
Mindy Bledsoe,"Mindy Bledsoe,Chris Lyon,Rob Senska,Jennifer Stone,Blayne Weaver","Mindy Bledsoe,Jennifer Stone,Rob Senska",,"Perennial Media,Bledska Works",,"Drama,Comedy",English,,"May 16, 2021",1h 18m,The In Between,Stereo,Scope (2.35:1),,,
Peter Flinth,"Nikolaj Coster-Waldau,Baltasar Kormákur","Nikolaj Coster-Waldau,Joe Derrick,Ejnar Mikkelsen,Nikolaj Coster-Waldau,Joe Derrick",,"Ill Kippers Productions,RVK Studios",,"Drama,Adventure,History",English,,"Mar 2, 2022",1h 42m,Against the Ice,"Dolby Digital,Dolby Atmos",,,,
Peter Sagnia,Peter Sagnia,"Peter Sagnia,Anderson Percival",,,,Drama,English,,"Aug 19, 2016",1h 13m,Consumed,,,,,
Janicza Bravo,"Christine Vachon,David Hinojosa,Gia Walsh,Kara Baker,Vince Jolivette,Elizabeth Haggard,Dave Franco","Janicza Bravo,Jeremy O. Harris",A24,"Killer Films,Ramona Films,Gigi Films",R (Graphic Nudity|A Sexual Assault|Language Throughout|Strong Sexual Content|Violence),"Comedy,Mystery & Thriller,Drama",English,"Jun 30, 2021, Wide","Sep 14, 2021",1h 27m,Zola,,Flat (1.85:1),,,
"Bonni Cohen,Jon Shenk","Serin Marshall,Jennifer Sey,Julie Parker Benello",,,Netflix,PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),Documentary,English,,"Jun 25, 2020",1h 43m,Athlete A,,,,,
James Dodson,,,,Miramax,R,"Action,Mystery & Thriller",English,,,1h 30m,Deadlock,,,,,
Andy Mitchell,Laura Thomas,,Netflix,Red Rock Films,,Documentary,English,,"Aug 9, 2024",1h 15m,Inside the Mind of a Dog,,,,,
Woo Min-ho,"Kim Wonguk,Woo Min-ho","Lee Ji-min,Woo Min-ho",Capelight Pictures,"Gemstone Pictures,Hive Media",,Drama,Korean,"Jan 31, 2020, Limited","May 19, 2020",1h 54m,The Man Standing Next,,,$113.5K,,
Scott Vickers,"Alan Cuthbert,Steven Little,Scott Vickers",Scott Vickers,,New Light Films,R (Drug Abuse|Disturbing Behavior|Brief Language|Nudity|Violence),"Horror,Mystery & Thriller",British English,,"Apr 11, 2019",1h 31m,Matriarch,,,,,
Brian Duffield,"Nicki Cortese,Brian Duffield,Matthew Kaplan,Jordan Levin",Brian Duffield,,"Awesomeness Films,Jurassic Party Productions",R (Language|Bloody Images Throughout|Teen Drug and Alcohol Use),"Comedy,Horror,Romance",English,"Oct 2, 2020, Limited","Oct 6, 2020",1h 42m,Spontaneous,,Scope (2.35:1),,,
Claire Denis,Olivier Delbosc,"Claire Denis,Andrew Litvack,Léa Mysius,Denis Johnson",A24,"September Film Distribution,Ad Vitam,Arte France Cinema,Curiosa Films,Barnstormer Productions,Hypatia Films",R (Nudity|Language|Sexual Content|Some Violence),"Drama,Mystery & Thriller,Romance",English,"Oct 14, 2022, Limited","Oct 14, 2022",2h 17m,Stars at Noon,Digital 5.1,Digital 2.39:1,$36.0K,,
Bobby Roth,Edwin Self,,,"Alliance Atlantis Communications,Cosgrove/Meurer Productions,Alliance Communications Corporation",TV-G,Drama,English,,"Jun 5, 2017",1h 36m,Inheritance,,,,,
Kwang-Il Han,"Lauren Schmidt Hissrich,Beau de Mayo","Beau DeMayo,Beau de Mayo,Andrzej Sapkowski",,Studio Mir,,"Fantasy,Action,Adventure,Animation",English,,"Aug 23, 2021",1h 23m,The Witcher: Nightmare of the Wolf,"Dolby Digital,Dolby Atmos",,,,
Gabriela Tagliavini,"Lucas Jarach,German Michael Torres","Paco Farias,Jennifer C. Stetson,Michael Varrati",Netflix,"GMT Films,Netflix Studios",,"Holiday,Romance,Comedy",English,"Nov 11, 2022, Limited","Nov 17, 2022",1h 29m,Christmas With You,,,,,
Stanley M. Brooks,,Adrienne Rush,,"Lighthouse Pictures,Mar Vista Productions",TV-14 (S|L|D|V),"Crime,Drama",English,,"Mar 12, 2022",1h 28m,Cruel Instruction,,,,,
Jim Towns,"Jamie Bernadette,Craig Stark,Jim Towns",Jim Towns,The Asylum,"Shadow Kamera Films,Desolation Films",,"Horror,Action,Mystery & Thriller",English,"Jul 14, 2023, Limited","Jul 14, 2023",1h 53m,End Times,,,,,
Matt Cascella,,Jen Cordery,Good Deed Entertainment,Big Shins Films,,"Comedy,Drama",English,,"Oct 22, 2024",1h 30m,Hangdog,,,,,
Murray Robinson,"Robert Abramoff,D. Scott Lumpkin,Murray Robinson",Murray Robinson,,"Chickasabogue Filmworks LLC,The Novice LLC,Lumpkin Productions",,Drama,English,"Sep 30, 2006, Original","May 16, 2019",1h 29m,The Novice,,,,,
Sarah Spillane,"Susan Cartsonis,Debra Martin Chase,Andrew Fraser","Rebecca Banner,Cathy Randall,Sarah Spillane",,"The Rebel Fleet ,Resonate Entertainment ,Sunstar Entertainment,Martin Chase Productions",TV-PG,"Drama,Biography",English,,"Feb 3, 2023",1h 49m,True Spirit,,,,,
"Amanda McBaine,Jesse Moss","Jesse Moss,Amanda McBaine",,,Concordia Studio,PG-13 (Some Strong Language|Thematic Elements),Documentary,English,"Jul 31, 2020, Limited","Aug 14, 2020",1h 49m,Boys State,,,,,
Jerzy Skolimowski,"Ewa Piaskowska,Jerzy Skolimowski,Eileen Tasca","Ewa Piaskowska,Jerzy Skolimowski",Janus Films,"Haka Films ,Skopia Film,Moderator Inwestycje,Recorded Picture Company (RPC),Alien Films ",,Drama,Polish,"Nov 18, 2022, Limited","Feb 21, 2023",1h 28m,EO,,,$1.1M,,
Conor Allyn,"Andrea Iervolino,Monika Bacardi,Pascal Borno,Silvio Muraglia,Alain Gillissen","Conor Allyn,Pascal Borno,Silvio Muraglia",Saban Films,"Angel Oak Films,Margate House Films,Iervolino & Lady Bacardi Entertainment",R (Brief Sexuality|Some Violent Content),Mystery & Thriller,English,"Oct 13, 2023, Limited","Oct 13, 2023",1h 27m,In the Fire,,,,,
Hyoe Yamamoto,,,Netflix,,,"Crime,Documentary",English,,"Jul 26, 2023",1h 22m,Missing: The Lucie Blackman Case,,,,,
Gianni Di Gregorio,Angelo Barbagallo,"Gianni Di Gregorio,Marco Pettenello",Distrib Films,"BiBi Film,Le Pacte",,"Romance,Comedy",Italian,,"Dec 12, 2023",1h 28m,Never Too Late for Love,,,,,
Tom Lewis,"Tom Lewis,Russell Jones",Tom Lewis,Indican Pictures,,,"Horror,Mystery & Thriller",English,"Mar 18, 2016, Limited","Jul 28, 2016",1h 33m,The Channel,,,,,
Galina Kalashnikova,"Lati Grobman,Rouslan Ovtcharoff,Svetlana Portnyansky","Galina Kalashnikova,Gary Brunson,Mikhail Nemirovsky",,,,Documentary,English,,,40m,The Resort,,,,,
Sam Levinson,"Ellen Barkin,Pamela Fielder,Johnny Lin,Michael Nardelli,Salli Newman,Celine Rattray,Todd Traina",Sam Levinson,,"Cineric,Mandalay Vision",R (Sexual References|Pervasive Language|Brief Graphic Nudity|Teen Drug//Alcohol Abuse),"Comedy,Drama",English,,"Nov 18, 2016",1h 55m,Another Happy Day,,,$9.1K,,
"Norm Macdonald,Jeff Tomsic",,Norm Macdonald,,,TV-MA,"Comedy,Stand-Up",English,,"May 30, 2022",1h 26m,Norm Macdonald: Nothing Special,,,,,
Benny Chan Chi-Shun,"Benny Chan Chi-Shun,Donnie Yen",Benny Chan Chi-Shun,Well Go USA,"Emperor Film Production,Super Bullet Pictures,Tencent Pictures",,"Action,Mystery & Thriller,Crime",Chinese,"Aug 13, 2021, Limited","Nov 23, 2021",2h 6m,Raging Fire,,Scope (2.35:1),$368.3K,,
Phillip J. Roth,,Phillip J. Roth,,,,Action,English,,,1h 36m,Bad Trip,,,,,
William Nicholson,"Sarada McDermott,David M. Thompson",William Nicholson,Roadside Attractions,"Source Investments B.V.,Immersiverse,Origin Pictures,Sampsonic Media,Protagonist Pictures,Lipsync",PG-13 (Some Thematic Elements|Brief Strong Language),Drama,British English,"Mar 6, 2020, Limited","May 8, 2020",1h 41m,Hope Gap,,,$95.8K,,
Janis Pugh,"Anne Beresford,Adam Partridge,Andrew Gillman,Peggy Cafferty",Janis Pugh,Dark Star Pictures,Artemisia Films,,"Drama,Comedy,LGBTQ+,Musical",English,"Aug 2, 2024, Limited","Aug 27, 2024",1h 41m,Chuck Chuck Baby,,,,,
Thor Freudenthal,"Nina Jacobson,Brad Simpson","Jeff Filgo,Jackie Filgo,Gabe Sachs,Jeff Judah",20th Century Fox,Color Force,PG (Some Rude Humor|Language),"Kids & Family,Comedy",English,"Mar 19, 2010, Wide","Jul 1, 2013",1h 32m,Diary of a Wimpy Kid,"Dolby Digital,DTS",,$64.0M,,
Simon Curtis,"Gareth Neame,Liz Trubridge,Julian Fellowes",Julian Fellowes,Focus Features,"Focus Features,Carnival Film & Television,Carnival Film & Television Ltd.",PG (Some Suggestive References|Language|Thematic Elements),Drama,British English,"May 20, 2022, Wide","Jun 24, 2022",2h 5m,Downton Abbey: A New Era,,Digital 2.39:1,$43.3M,,
Elvis Mitchell,"Ciara Lacy,Terry Leonard",,Netflix,Netflix,R (Nudity|Language|Drug Material|Some Sexual Content|Violence),Documentary,English,"Oct 28, 2022, Limited","Nov 11, 2022",2h 15m,Is That Black Enough for You?!?,,,,,
Stephen Donnelly,"Ralph Kamp,Andrew Pearce,Leslie Bricusse","Leslie Bricusse,Stephen Donnelly,Charles Dickens",Netflix,Timeless Films,TV-Y7 (Fear),"Kids & Family,Holiday,Adventure,Comedy,Musical,Animation",British English,"Nov 18, 2022, Limited","Dec 2, 2022",1h 36m,Scrooge: A Christmas Carol,,,,,
Nate Edwards,"Milan Chakraborty,Sanjay M Sharma,Hadley Klein,Peter Van Auker",Darrell Britt-Gibson,Hulu,"Andscape,Marginal Mediaworks",,"Drama,Romance",English,"Sep 27, 2024, Limited","Sep 27, 2024",1h 42m,She Taught Love,,,,,
Deon Taylor,"Roxanne Avent,Deon Taylor,Hilary Swank",David Loughery,Lionsgate Films,"Hidden Empire Film Group,Hidden Empire Film Group (HEFG)",R (Sexual Content|Language|Violence),"Mystery & Thriller,Drama",English,"Dec 18, 2020, Wide","Jan 8, 2021",1h 43m,Fatale,,,$6.3M,,
Cary Parker,,,,,PG-13,Comedy,English,,,1h 30m,Girl in the Picture,,,$206.9K,,
"Matt Peters,Christina Sotta",Amy McKenna,Ernie Altbacker,,Warner Bros. Animation,R (Some Sexual References|Language|Bloody Violence),"Action,Adventure,Animation",English,,"May 5, 2020",1h 30m,Justice League Dark: Apokolips War,,,,,
John Ridley,"Elizabeth Haggard,Regina King,Reina King,Anikah McLaren,John Ridley",John Ridley,Netflix,"Participant,BCD Travel,Royal Ties Productions",PG-13 (Some Smoking|Racial Slurs|Brief Violence|Strong Language),"Drama,Biography",English,"Mar 15, 2024, Limited","Mar 22, 2024",1h 57m,Shirley,,,,,
Alice Maio Mackay,"Alice Maio Mackay,Erin Paterson","Alice Maio Mackay,Benjamin Pahl Robinson",Dark Star Pictures,One Manner Productions,,"Horror,LGBTQ+",English,,"Mar 5, 2024",1h 15m,T-Blockers,,,,,
Christopher Ashley,"Bill Condon,Mark Gordon,Nick Meyer,Jennifer Todd","Irene Sankoff,David Hein",,"Alchemy Productons,eOne,RadicalMedia,Junkyard Dog Productions",,"Musical,Drama,Comedy",English,,"Sep 10, 2021",1h 46m,Come From Away,,,,,
Sylvia Caminer,"Dani Barker,Sylvia Caminer,Michael Indjeian",Dani Barker,Quiver Distribution,"Max Freedman Media,Classified Films,MFM Productions,Dolger Films",,"Mystery & Thriller,Horror",English,"Jun 2, 2023, Limited","Jun 2, 2023",1h 32m,Follow Her,,,,,
Jeff Hall,,,,High Octane Pictures,,Mystery & Thriller,English,,"Aug 7, 2018",1h 30m,It Lives Inside,,,,,
Ron Howard,"Brian Grazer,Ron Howard,Sara Bernstein,Margaret Bodde,Justin Wilkes,Mark Monroe,Christopher St. John",Mark Monroe,Disney+,"Disney Original Documentary,The Jim Henson Company,Imagine Documentaries",,"Documentary,Biography",English,"May 24, 2024, Limited","May 31, 2024",1h 51m,Jim Henson Idea Man,,,,,
Gia Coppola,"Fred Berger,Gia Coppola,Lauren Bratman,Andrew Garfield,Siena Oberman,Jack Heller,Alan Terpins,Enrico Saraiva,Francisco Rebelo de Andrade,Zac Adams","Tom Stuart,Gia Coppola",IFC Films,"Paint Night Productions,Automatik Entertainment,American Zoetrope,Assemble Media,TUGAWOOD Pictures,Artemis Film,Dynasty Pictures (II)",R (Some Graphic Nudity|Pervasive Language),"Comedy,Drama",English,"May 7, 2021, Limited","May 7, 2021",1h 34m,Mainstream,,Scope (2.35:1),$35.5K,,
Christian Sparkes,"William Woods,Allison White","William Woods,Albert Shin",Vertical,"Woods Entertainment,Sara Fost Pictures,Tip-Top Productions",,"Drama,Mystery & Thriller,Fantasy",English,"Aug 16, 2024, Limited","Aug 16, 2024",1h 40m,The King Tide,,,,,
Amanda Nell Eu,"Foo Fei Ling,Fran Borgia,Juliette Lepoutre,Pierre Menahem,Jonas Weydemann,Ellen Havenith,Fei Ling Foo,Patrick Mao Huang,Yulia Evina Bhara",Amanda Nell Eu,Dark Star Pictures,Akanga Film Productions,,Horror,Malay,"Jun 14, 2024, Limited","Jul 9, 2024",1h 35m,Tiger Stripes,Dolby Digital,Flat (1.85:1),,,
Richard Brooks,Richard Brooks,Richard Brooks,United Artists,Pax Enterprises,R (Brief Nudity|Some Substance Abuse),Drama,English,"Dec 21, 1969, Original","Aug 5, 2018",1h 52m,Happy Ending,,,,,
Alex Pillai,Matt Williams,"Alexander J. Farrell,Greer Ellison",Amazon Studios,Future Artists Entertainment,,"Romance,Comedy",British English,,"Apr 5, 2024",1h 40m,How to Date Billy Walsh,,,,,
Daniel Petrie,"Paul Brown,Jon Slan,Daniel Petrie",,,,,Drama,English,,,1h 46m,The Assistant,,,,,
Bradley Parker,"Alejandro De Leon,Diego Hallivis,Julio Hallivis,Andres Rosende","Stefan Jaworski,Eric Scherbarth",Vertical Entertainment,1inMM Productions,,"Horror,Mystery & Thriller",English,"Mar 5, 2021, Limited","Mar 5, 2021",1h 28m,The Devil Below,,,,,
Paolo Sorrentino,"Lorenzo Mieli,Paolo Sorrentino",Paolo Sorrentino,Netflix,"Film Commission Regione Campania,The Apartment Pictures,Regione Campania,Netflix",R (Language|Brief Drug Use|Sexual Content|Some Graphic Nudity),Drama,Italian,"Dec 3, 2021, Limited","Dec 15, 2021",2h 10m,The Hand of God,,,,,
Marius Vaysberg,"Marina Bespalov,Sergei Bespalov,Marius Vaysberg,Vincent Newman,Sergey Livnev",Tiffany Paulsen,United Artists Releasing,"Aldamisa Entertainment,Vincent Newman Entertainment,Contentious Media",R (A Sexual Reference|Some Language),"Holiday,Romance,Comedy",English,"Sep 9, 2022, Wide","Sep 9, 2022",1h 40m,About Fate,,,$6.1K,,
Akiva Schaffer,"David Hoberman,Todd Lieberman","Dan Gregor,Doug Mand",,Mandeville Films,PG (Rude/Suggestive Humor|Mild Action),"Kids & Family,Comedy,Adventure",English,,"May 20, 2022",1h 36m,Chip 'n' Dale: Rescue Rangers,"Dolby Digital,Dolby Atmos",,,,
Tommy Wiseau,,Tommy Wiseau,"Wiseau-Films,Chloë Productions,TPW Films","Chloe Productions,Wiseau-Films,TPW Films",R (Brief Violence|Sexuality|Language),Drama,English,"Jun 27, 2003, Limited",,1h 39m,The Room,,,,,
Marcos Carnevale,"Martín Kweller,Rocío Gort,Ignacio Rey",,Netflix,,,"Romance,Comedy,Drama",Spanish,,"Jul 5, 2024",1h 46m,Goyo,,,,,
John Trengove,"Gina Gammell,Ben Giladi,Riley Keough,Ryan Zacarias",John Trengove,Lionsgate,"Felix Culpa,Pulse Films,Riverside Entertainment,Capstone Studios,Liminal Content",R,"Mystery & Thriller,Drama",British English,"Nov 10, 2023, Limited","Nov 17, 2023",1h 36m,Manodrome,,Flat (1.85:1),,,
G. Patrick Currie,"Michelle Morris,Yogi Omar,Michelle Picard","G. Patrick Currie,Brendee Green",,"Crazy8s Film Society,Lily Pictures",,"Romance,Comedy,LGBTQ+",English,,,16m,Meet Cute,,,,,
Cullen Hoback,"Cullen Hoback,Alina Solodnikova,Jessie Deeter,Scott Holroyd",,Max,,,"Crime,Documentary",English,"Oct 8, 2024, Limited","Oct 8, 2024",1h 40m,Money Electric: The Bitcoin Mystery,,,,,
"Lisa Barros D'Sa,Glenn Leyburn","Brian J. Falconer,David Holmes,Piers Tempest",Owen McCafferty,Bleecker Street Media,"Canderblinks Films ,Head Gear Films,Out of Orbit",R (Brief Sexuality/Nudity),"Drama,Romance",British English,"Feb 14, 2020, Limited","May 5, 2020",1h 31m,Ordinary Love,,Scope (2.35:1),$321.4K,,
Mike Barker,"Pierce Brosnan,William Vince",William Morrissey,,"Icon Productions,Chum Television,Irish DreamTime",R (Violence|Some Language),"Mystery & Thriller,Crime,Drama",English,,"Nov 3, 2014",1h 38m,Shattered,Dolby Digital,,,,
Jon Keeyes,"Jordan Yale Levine,Jordan Beckerman,Michael J. Rothstein,Richard Bolger,Conor Barry,Richard Clabaugh,Stephen Braun,Kurt Ebner",Matthew Rogers,Saban Films,"Yale Productions,Hail Mary Pictures",R (Violence|Pervasive Language|Drug Use),"Mystery & Thriller,Crime",English,,"Aug 20, 2024",1h 35m,The Clean Up Crew,,,,,
Robert Schwartzman,"Russell Wayne Groves,Robert Schwartzman,Brett Ryland",Brett Ryland,Fathom Events,The Ranch Productions,,"Comedy,Drama",English,"Jul 23, 2024, Limited","Sep 3, 2024",1h 40m,The Good Half,,,,,
"Veronika Franz,Severin Fiala",Ulrich Seidl,"Veronika Franz,Severin Fiala",Radius TWC,Ulrich Seidl Film Produktion GmbH,R (Some Nudity|Disturbing Violent Content),"Horror,Mystery & Thriller",German,"Sep 11, 2015, Limited","Mar 28, 2017",1h 40m,Goodnight Mommy,,,$1.2M,,
Bren Foster,"Navid Bahadori,Bren Foster,Mario Lendvai,Chelsea Foster,Elena Arena",Bren Foster,Vertical,,,"Action,Drama,Mystery & Thriller",English,"Jun 7, 2024, Limited","Jun 7, 2024",2h 0m,Life After Fighting,,,,,
Chris Appelhans,"Chris Bremble,Jackie Chan,Aron Warner",Chris Appelhans,,"The Monk Studio,Sony Pictures Animation,Tencent Pictures,Beijing Sparkle Roll Media Corporation",PG (Mild Action and Rude Humor),"Kids & Family,Comedy,Adventure,Fantasy,Animation",English,,"Jun 11, 2021",1h 38m,Wish Dragon,"Dolby Atmos,Dolby Digital",Flat (1.85:1),,,
Nida Manzoor,"Tim Bevan,Eric Fellner,Olivier Kaempfer,John Pocock",Nida Manzoor,Focus Features,"Focus Features,Working Title Films,Parkville Pictures",PG-13 (Some Partial Nudity|Sexual Material|Strong Language|Violence),"Action,Comedy",English,"Apr 28, 2023, Limited","May 16, 2023",1h 43m,Polite Society,,Digital 2.39:1,$1.5M,,
Elaine Bogan,Karen Foster,"Aury Wallington,Kristin Hahn",Universal Pictures,DreamWorks Animation,PG (Some Adventure Action),"Kids & Family,Adventure,Animation",English,"Jun 4, 2021, Wide","Jun 25, 2021",1h 28m,Spirit Untamed,"Dolby Atmos,Dolby Digital,DTS",Scope (2.35:1),$17.6M,,
Mary Sexton,Mary Sexton,Mary Sexton,,Sony Pictures Classics,,Comedy,English,,,1h 45m,Violet,,,,,
Goro Miyazaki,Toshio Suzuki,"Keiko Niwa,Emi Gunji",GKIDS,"NHK,Shirogumi",PG (Rude Material|Some Scary Images),"Kids & Family,Comedy,Animation,Adventure,Fantasy",Japanese,"Feb 3, 2021, Limited","Mar 23, 2021",1h 23m,Earwig and the Witch,,,$168.1K,,
Philip J. Cook,,,Indie Rights,Eagle Films,,Sci-Fi,English,,"Jun 5, 2024",1h 25m,Ghost Planet,,,,,
Nigel Evans,,,,,,Comedy,,,"May 19, 2020",1h 41m,Greed,,,,,
Pham Thien An,"Jeremy Chua,Tran Van Thi",Pham Thien An,Kino Lorber,"JK Film,Fasten Films,Potocol,Deuxieme Ligne Films",,Drama,Vietnamese,"Jan 19, 2024, Limited","Mar 19, 2024",2h 58m,Inside the Yellow Cocoon Shell,Dolby Digital,Flat (1.85:1),$75.1K,,
Adam MacDonald,"Owen Kelly,Missy Peregrym,Eric Birnberg,Thomas Vencelides,Thomas Walden",Enuka Okuma,IFC Films,"December Films,High Park Entertainment",R (Violent Content/Grisly Images|Language),Mystery & Thriller,English,"Aug 30, 2024, Limited","Aug 30, 2024",1h 28m,Out Come the Wolves,,,$8.6K,,
"Gerard Bush,Christopher Renz","Raymond Mansfield,Sean McKittrick,Zev Foreman,Gerard Bush,Christopher Renz,Lezlie Wills","Gerard Bush,Christopher Renz",,"QC Entertainment,Lionsgate",R (Language|Disturbing Violent Content|Sexual References),Mystery & Thriller,English,,"Sep 18, 2020",1h 46m,Antebellum,,Scope (2.35:1),,,
Thomas Sainsbury,"Gabriel Lunte,Jonathan Potton,Milon Tesiram",Thomas Sainsbury,Dark Sky Films,Chillbox Creative,,Mystery & Thriller,Australian English,"Dec 1, 2023, Limited","Dec 1, 2023",1h 36m,Loop Track,,,,,
John Gulager,"Talia Bella,Joel Soisson","John Gulager,Joel Soisson",Quiver Distributor,"7C Productions,Rebellium Films",,"Horror,Action",English,"Oct 11, 2024, Limited","Oct 11, 2024",1h 24m,Seven Cemeteries,,,,,
Harry Winer,,,,New World Television,,Drama,English,,,3h 20m,Stay the Night,,,,"Apr 30, 2013",
"David Charbonier,Justin Powell","Ryan Lewis,John Hermann,Jim Hart,Ryan Scaringe,Rick Rosenthal","David Charbonier,Justin Powell",,"Whitewater Films,Kinogo Pictures",,"Horror,Mystery & Thriller",English,,"Jul 29, 2021",1h 28m,The Boy Behind the Door,,,,,
Nadine Crocker,"Cassian Elwes,Nadine Crocker,Michael Farris Smith,Walter Josten,Paul Robarts",Michael Farris Smith,Lionsgate,"Hopeful Romantix Productions,Balcony 9 Productions,Grindstone Entertainment Group,Capstone Studios,Signature Entertainment,Elevated Films (II)",R (Language Throughout|Brief Sexuality|Nudity|Sexual Assault|Some Violence),"Action,Mystery & Thriller",English,"Oct 6, 2023, Limited","Oct 6, 2023",1h 52m,Desperation Road,,,,,
Michael Feifer,"Michael Feifer,Cindy McNulty",Michael Feifer,Quiver Distribution,Feifer Worldwide,,"Mystery & Thriller,Horror,Crime",English,,"Jan 30, 2024",1h 37m,Gacy: Serial Killer Next Door,,Scope (2.35:1),,,
Patty Jenkins,"Mark Damon,Clark Peterson,Charlize Theron,Donald Kushner,Brad Wyman",Patty Jenkins,Newmarket Film Group,"K/W Productions,MDP Worldwide,Denver and Delilah Productions,DEJ Productions,Zodiac Productions Inc.",R,"Biography,Crime,Drama,LGBTQ+",English,"Jan 30, 2004, Wide","Apr 16, 2015",1h 49m,Monster,"Dolby SR,DTS,Surround",Flat (1.85:1),$34.5M,,
Peter Segal,"Chris Bender,Jake Weiner,Dave Bautista,Jonathan Meisner,Peter Segal,Robert Simonds,Gigi Pritzker","Jon Hoeber,Erich Hoeber",Amazon Studios,"STX Entertainment,Good Fear,MWM Studios,Dream Bros. Entertainment",PG-13 (Action/Violence and Language),"Comedy,Action",English,"Jun 26, 2020, Limited","Jun 25, 2020",1h 39m,My Spy,Dolby Digital,Scope (2.35:1),,,
Jon Eckersley,"Scott Wright,Jon Eckersley,Jennifer Chippindale,Terry Wright",Jon Eckersley,Saban Films,,R,"Mystery & Thriller,Drama",British English,"Oct 18, 2024, Limited","Oct 18, 2024",1h 36m,The Stoic,,,,,
Jared Stern,"Patricia Hicks,Dwayne Johnson,Dany Garcia,Hiram Garcia,Jared Stern","Jared Stern,John Whittington",Warner Bros. Pictures,"A Stern Talking To,Warner Animation Group,Seven Bucks Productions,DC Entertainment",PG (Language|Action|Mild Violence|Rude Humor),"Kids & Family,Comedy,Adventure,Animation",English,"Jul 29, 2022, Wide","Aug 23, 2022",1h 46m,DC League of Super-Pets,"Dolby Atmos,Dolby Digital",Scope (2.35:1),$93.7M,,
Maciej Kawulski,"Natalia Siwiec,Maciej Kawulski",Krzysztof Gureczny,Netflix,"Mazowiecki i Warszawski Fundusz Filmowy,Next Film,Mazowiecki Instytut Kultury",,"Fantasy,Kids & Family",Polish,,"Jun 19, 2024",2h 9m,Kleks Academy,,,,,
Joel Zwick,"Gary Goetzman,Tom Hanks,Rita Wilson",Nia Vardalos,IFC Films,"Playtone Productions,Gold Circle Films,MPH,Home Box Office (HBO)",PG (Sensuality|Language),"Romance,Comedy",English,"Apr 19, 2002, Original","Aug 10, 2016",1h 35m,My Big Fat Greek Wedding 3,"Dolby Stereo,Dolby Digital,Dolby A,Surround,Dolby SR",Flat (1.85:1),$241.4M,,
Louis Mandylor,Daemon Hillin,Brandon Slagle,Quiver Distribution,"Film Bridge International,Hillin Entertainment,Benetone Films,BGG Capital",,"Action,Horror,Mystery & Thriller",English,,"Oct 4, 2024",1h 33m,Operation Blood Hunt,,,,,
"Justin Matthews,Luke Spencer Roberts","Zachary Spicer,Gordon Strain,Joe Matthews,Justin Matthews","Justin Matthews,Luke Spencer Roberts",Iconic Events,Pigasus Pictures,R,"Comedy,Drama",English,"Jul 31, 2024, Limited","Aug 16, 2024",1h 39m,The Duel,,Flat (1.85:1),,,
Ben Wheatley,Andrew Starke,Ben Wheatley,NEON,"Rook Films,Neon",R (Strong Violent Content|Language|Grisly Images),"Horror,Mystery & Thriller",British English,"Apr 16, 2021, Limited","Apr 22, 2021",1h 40m,In The Earth,,,$1.1M,,
Scott Windhauser,"Thomas Zambeck,Brian Katz,Emanuele Moretti,Sasha Yelaun,Robert Paschall Jr.",Scott Windhauser,Saban Films,"Safier Entertainment,The Motus Studios,Edge Code Films,Umbrelic Entertainment,Satyricon Pictures",R (Some Sexual Material/Nudity|Language Throughout|Drug Content|Strong Violence),"Action,Mystery & Thriller",English,,"Oct 11, 2024",1h 32m,Mafia Wars,,,,,
"Andy Edwards,Airell Anthony Hayles,Ludovica Musumeci,Jake West","Vinod Malgewar,Airell Anthony Hayles","Airell Anthony Hayles,Jake West,Andy Edwards",Dark Star Pictures,"GoViddo,The Haunted Cinema,Golden Gate Motion Pictures",,Horror,English,,"Feb 13, 2024",1h 33m,Midnight Peepshow,,,,,
"Alexandre Bustillo,Julien Maury",,"Alexandre Bustillo,Julien Maury",,Radar Films,,"Horror,Mystery & Thriller",English,,"Nov 5, 2021",1h 25m,The Deep House,,,,,
